,Text
256,On the other hand classical processing of EEG signals based on extracting EEG bands frequency descriptors usually make some assumptions on the raw signals that could cause indormation loosing
257,In this work we propose an alternatfor analysis in the frequency domain based on Singluar Spectrum Analysis (SSA) to split the raw signal into components representing different oscillatory modes
258,"Moreover correlation matr obta for each component among EEG channels are classfied using a Convolutional Neural network.
"
259,TinyRadarNN: Combining Spatial and Temporal Convolutional Neural Networks for Embedded Gesture Recognition with Short Range Radars: This work proposes a low-power high-accuracy embedded hand-gesture recognition algorithm targeting battery-operated wearable dev using low power short-range RADAR sensors
260,A 2D Convolutional Neural Network (CNN) using range frequency Doppler features is comb with a Temporal Convolutional Neural Network (TCN) for tsequence prediction
261,The final algorithm has a model sof only 46 thousand parameters yielding a memory footprint of only 92 KB
262,Two datasets containing 11 challng hand gestures performed by 26 different people have been recorded containing a total of 20210 gesture instances
263,On the 11 hand gesture dataset accuracies of 86.6\% (26 users) and 92.4\% (single user) have been achieved which are comparable to the state-of-the-art which achieves 87\% (10 users) and 94\% (single user) whusing a TCN-based network that is 7500x smaller than the state-of-the-art
264,Furthermore thsture recognition classifier has been implemented on a Parallel Ultra-Low Power Processor demonstrating that real-tprediction is feasible with only 21 mW of power consumption for the full TCN sequence prediction network wha system-level power consumption of less than 100 mW is achieved
265,"We provopen-source access to all the code and data collected and used in this work on tinyradar.ethz.ch.
"
266,Audio Cover Song Identification using Convolutional Neural Network: In this paper we propose a new approach to cover song tification using a CNN (convolutional neural network)
267,Most previous studies extract the feature vectors that characterthe cover song relation from a pair of songs and used it to compute the (dis)similarity between the two songs
268,Based on the observation that there is a meaningful pattern between cover songs and that this can be learned we have reformulated the cover song tification problem in a machlearning framework
269,To do this we first build the CNN using as an input a cross-similarity matrix generated from a pair of songs
270,We then construct the data set composed of cover song pairs and non-cover song pairs which are used as positand negattraining samples respecty
271,The tra CNN outputs the probability of being in the cover song relation g a cross-similarity matrix generated from any two pieces of music and tifies the cover song by ranking on the probability
272,"Expertal results show that the proposed algorithm achieves performance better than or comparable to the state-of-the-art.
"
273,V-based Facial Expression Recognition using Graph Convolutional Networks: Facial expression recognition (FER) aiming to classify the expression present in the facial image or v has attracted a lot of research interests in the field of artificial intellce and multia
274,In terms of v based FER task it is sensible to capture the dynampression variation among the frames to recognfacial expression
275,However existing methods dtly utilCNN-RNN or 3D CNN to extract the spatial-temporal features from different facial units instead of concentrating on a certain region during expression variation capturing which leads to lim performance in FER
276,In our paper we introduce a Graph Convolutional Network (GCN) layer into a common CNN-RNN based model for v-based FER
277,First the GCN layer is util to learn more significant facial expression features which concentrate on certain regions after sharing information between extracted CNN features of nodes
278,Then a LSTM layer is applied to learn long-term dependencies among the GCN learned features to model the variation
279,In addition a wt assignment mechanism is also designed to wt the output of different nodes for final classification by characterizing the expression intensities ch frame
280,To the best of our knowl it is the first tto use GCN in FER task
281,"We evaluate our method on three wy-used datasets CK+ Oulu-CASIA and MMI and also one challng wild dataset AFEW8.0 and the expertal results demonstrate that our method has superior performance to existing methods.
"
282,Smart Inference for Multidigit Convolutional Neural Network based Barcode Decoding: Barcodes are ubiquitous and have been used in most of critical daily activities for decades
283,However most of traditional decoders requwell-founded barcode under a relaty standard condition
284,Whwilder conditioned barcodes such as underexposed occluded blurry wrinkled and rotated are commonly captured in reality those traditional decoders show weakness of recognizing
285,Several works attempted to solve those challng barcodes but many limitations still exist
286,This work aims to solve the decoding problem using deep convolutional neural network with the possibility of running on portable dev
287,Firstly we proposed a special modification of inference based on the feature of having checksum and test-taugmentation named as Smart Inference (SI) in prediction phase of a tra model
288,SI consably boosts accuracy and reduces the false prediction for tra models
289,Secondly we have created a large practical evaluation dataset of real captured 1D barcode under various challng conditions to test our methods vigorously which is publicly available for other researchers
290,The experts' results demonstrated the SI effectess with the highest accuracy of 95.85% which outperformed many existing decoders on the evaluation set
291,"Finally we successfully minim the best model by knowl distillation to a shallow model which is shown to have high accuracy (90.85%) with good inference speed of 34.2 ms per image on a real  dev
"
292,Multi-Graph Convolutional Network for Relationship-Dr Stock Movement Prediction: Stock prmovement prediction is commonly accepted as a very challng task due to the volatnature of financial markets
293,Previous works typically predict the stock prmainly based on its own information neglecting the cross effect among involved stocks
294,However it is well known that an individual stock pris correlated with pr of other stocks in complex ways
295,To take the cross effect into consation we propose a deep learning framework called Multi-GCGRU which compr graph convolutional network (GCN) and gated recurrent unit (GRU) to predict stock movement
296,Specifically we first encode multiple relationships among stocks into graphs based on financial domain knowl and utilGCN to extract the cross effect based on these pre-def graphs
297,To further get rid of prior knowl we explore an adaptrelationship learned by data automatically
298,The cross-correlation features produced by GCN are concatenated with historical records and then fed into GRU to model the temporal dependency of stock pr
299,Experts on two stock indexes in China market show that our model outperforms other basel
300,"Note that our model is rather feasible to incorporate more effectstock relationships containing expert knowl as well as learn data-dr relationship.
"
301,Decentralizing Feature Extraction with Quantum Convolutional Neural Network for Automatic Speech Recognition: We propose a novel decentral feature extraction approach in federated learning to address privacy-preservation issues for speech recognition
302,It is built upon a quantum convolutional neural network (QCNN) composed of a quantum circucoder for feature extraction and a recurrent neural network (RNN) based end-to-end acoustic model (AM)
303,To enhance model parameter protection in a decentral archture an input speech is first up-streamed to a quantum computing server to extract Mel-spectrogram and the corresponding convolutional features are encoded using a quantum circuit algorithm with random parameters
304,The encoded features are then down-streamed to the local RNN model for the final recognition
305,The proposed decentral framework takes advantage of the quantum learning progress to secure models and to avoid privacy leakage attacks
306,Testing on the Google Speech Commands Dataset the proposed QCNN encoder attains a competitaccuracy of 95.12\% in a decentral model which is better than the previous archtures using central RNN models with convolutional features
307,We also conduct an in-depth study of different quantum circucoder archtures to provinsights into designing QCNN-based feature extractors
308,"Finally neural saliency analyses demonstrate a high correlation between the proposed QCNN features class activation maps and the input Mel-spectrogram.
"
309,Revisiting convolutional neural network on graphs with polynomial approximations of Laplace-Beltrami spectral filtering: This paper revisits spectral graph convolutional neural networks (graph-CNNs) g in Defferrard (2016) and develops the Laplace-Beltrami CNN (LB-CNN) by replacing thaph Laplacian with the LB operator
310,We then defspectral filters via the LB operator on a graph
311,We explore the feasibility of Chebyshev Laguerre and Hermpolynomials to approximate LB-based spectral filters and defan update of the LB operator for pooling in the LBCNN
312,We employ the brain image data from Alzhe's Dse Neuroimaging Initiat(ADNI) and demonstrate the use of the proposed LB-CNN
313,Based on the cortical thickness of the ADNI dataset we showed that the LB-CNN didn't improve classification accuracy compared to the spectral graph-CNN
314,The three polynomials had a similar computational cost and showed comparable classification accuracy in the LB-CNN or spectral graph-CNN
315,"Our findings suggest that even though the shapes of the three polynomials are different deep learning archture allows us to learn spectral filters such that the classification performance is not dependent on the type of the polynomials or the operators (graph Laplacian and LB operator).
"
316,Recurrent Neural Networks for v object detection: There is lots of scientific work about object detection in images
317,For many applications lfor example autonomous driving the actual data on which classification has to be done are  This work compares different methods especially those which use Recurrent Neural Networks to detect objects in  We differ between feature-based methods which feed feature maps of different frames into the recurrent units box-level methods which feed bounding boxes with class probabilities into the recurrent units and methods which use flow networks
318,"This study indicates common outcomes of the compared methods lthe benefit of including the temporal context into object detection and states conclusions and gu for v object detection networks.
"
319,An Overview Of 3D Object Detection: Point cloud 3D object detection has recently rece major attention and becomes an actresearch topic in 3D computer vision community
320,However recognizing 3D objects in LiDAR (Light Detection and Ranging) is still a chall due to the complexity of point clouds
321,Objects such as pedestrians cyclists or traffic cones are usually represented by qusparse points which makes the detection qucomplex using only point cloud
322,In this project we propose a framework that uses both RGB and point cloud data to perform multiclass object recognition
323,We use existing 2D detection models to localthe region of interest (ROI) on the RGB image followed by a p mapping strategy in the point cloud and finally lift the initial 2D bounding box to 3D space
324,"We use the recently released nuScenes dataset---a large-scale dataset contains many data formats---to training and evaluate our proposed archture.
"
325,Class-Agnostic Segmentation Loss and Its Application to Salient Object Detection and Segmentation: In this paper we present a novel loss function called class-agnostic segmentation (CAS) loss
326,With CAS loss the class descriptors are learned during training of the network
327,We don't requto defthe label of a class a-priori rather the CAS loss clusters regions with similar appearance together in a weakly-superv manner
328,Furthermore we show that the CAS loss function is sparse bounded and robust to class-imbalance
329,We apply our CAS loss function with fully-convolutional ResNet101 and DeepLab-v3 archtures to the binary segmentation problem of salient object detection
330,We investigate the performance against the state-of-the-art methods in two settings of low and high-fity training data on seven salient object detection datasets
331,For low-fity training data (incorrect class label) class-agnostic segmentation loss outperforms the state-of-the-art methods on salient object detection datasets by staggering margins of around 50%
332,For high-fity training data (correct class labels) class-agnostic segmentation models perform as good as the state-of-the-art approaches whbeating the state-of-the-art methods on most datasets
333,"In order to show the utility of the loss function across different domains we also test on general segmentation dataset where class-agnostic segmentation loss outperforms cross-entropy based loss by huge margins on both region and  metrics.
"
334,Restoring NegatInformation in Few-Shot Object Detection: Few-shot learning has recently emd as a new chall in the deep learning field: unlconventional methods that train the deep neural networks (DNNs) with a large number of labeled data it asks for thneralization of DNNs on new classes with few annotated samples
335,Recent advances in few-shot learning mainly focus on image classification whin this paper we focus on object detection
336,The initial explorations in few-shot object detection tend to simulate a classification scenario by using the positproposals in images with respect to certain object class whdiscarding the negatproposals of that class
337,Negat especially hard negat however are essential to the embedding space learning in few-shot object detection
338,In this paper we restore the negatinformation in few-shot object detection by introducing a new negat and positrepresentatbased metric learning framework and a new inference scheme with negatand positrepresentat
339,We build our work on a recent few-shot pRepMet with several new modules to encode negatinformation for both training and testing
340,Extensexperts on ImageNet-LOC and PASCAL VOC show our method substantially improves the state-of-the-art few-shot object detection solutions
341,"Our code is available at https://github.com/yang-yk/NP-RepMet.
"
342,Topic-Aware AbstractText Summarization: Automatic text summarization aims at condensing a document to a shorter version whpreserving the key information
343,Different from extractsummarization which simply selects text fragments from the document abstractsummarization generates the summary in a word-by-word manner
344,Most current state-of-the-art (SOTA) abstractsummarization methods are based on the Transformer-based encoder-decoder archture and focus on novel self-superv object in pre-training
345,Whthese models well capture the contextual information among words in documents little attention has been paid to incorporating global semantics to better ftune for the downstream abstractsummarization task
346,In this study we propose a topic-aware abstractsummarization (TAAS) framework by leveraging the underlying semantic structure of documents represented by their latent topics
347,Specifically TAAS seamlessly incorporates a neural topic modeling into an encoder-decoder based sequencneration procedure via attention for summarization
348,This design is able to learn and preservobal semantics of documents and thus makes summarization effectwhich has been proved by our experts on real-world datasets
349,As compared to several cutting- baselmethods we show that TAAS outperforms BART a well-recogn SOTA model by 2% 8% and 12% regarding the F measure of ROUGE-1 ROUGE-2 and ROUGE-L respecty
350,"TAAS also achieves comparable performance to PEGASUS and ProphetNet which is difficult to accomplish g that training PEGASUS and ProphetNet requ enormous computing capacity beyond what we used in this study.
"
351,Re-evaluating Evaluation in Text Summarization: Automated evaluation metrics as a stand-in for manual evaluation are an essential part of the development of text-generation tasks such as text summarization
352,However whthe field has progressed our standard metrics have not -- for nearly 20 years ROUGE has been the standard evaluation in most summarization papers
353,In this paper we make an attempt to re-evaluate the evaluation method for text summarization: assessing the reliability of automatic metrics using top-scoring system outputs both abstractand extracton recently popular datasets for both system-level and summary-level evaluation settings
354,"We find that conclusions about evaluation metrics on older datasets do not necessarily hold on modern datasets and systems.
"
355,Enhancing ExtractText Summarization with Topic-Aware Graph Neural Networks: Text summarization aims to compress a textual document to a short summary whkeeping salient information
356,Extractapproaches are wy used in text summarization because of their fluency and efficiency
357,However most of existing extractmodels hardly capture inter-sentence relationships particularly in long documents
358,They also often ignore the effect of topical information on capturing important contents
359,To address these issues this paper proposes a graph neural network (GNN)-based extractsummarization model enabling to capture inter-sentence relationships efficiently via graph-structured document representation
360,Moreover our model integrates a joint neural topic model (NTM) to discover latent topics which can provdocument-level features for sentence selection
361,The expertal results demonstrate that our model not only substantially achieves state-of-the-art results on CNN/DM and NYT datasets but also consably outperforms existing approaches on scientific paper datasets consisting of much longer documents indicating its better robustness in document genres and lhs
362,"Further discussions show that topical information can help the model preselect salient contents from an entdocument which interprets its effectess in long document summarization.
"
363,Pre-training for AbstractDocument Summarization by Reinstating Source Text: Abstractdocument summarization is usually modeled as a sequence-to-sequence (Seq2Seq) learning problem
364,Unfortunately training large Seq2Seq based summarization models on lim superv summarization data is challng
365,This paper presents three pre-training object which allow us to pre-train a Seq2Seq based abstractsummarization model on unlabeled text
366,The main  is that g an input text artificially constructed from a document a model is pre-tra to reinstate the original document
367,These object include sentence reordering next sentencneration and masked document generation which have close relations with the abstractdocument summarization task
368,Experts on two benchmark summarization datasets ( CNN/DailyMail and New York T) show that all three object can improve performance upon basel
369,"Compared to models pre-tra on large-scale data (more than 160GB) our method with only 19GB text for pre-training achieves comparable results which demonstrates its effectess.
"
370,What Have We Achieved on Text Summarization: Deep learning has led to significant improvement in text summarization with various methods investigated and improved ROUGE scores reported over the years
371,However gaps still exist between summaries produced by automatic summars and human professionals
372,Aiming to gain more understanding of summarization systems with respect to their strhs and limits on a fina syntactic and semantic level we consult the Multidsional Quality Metric(MQM) and quantify 8 major sources of errors on 10 representatsummarization models manually
373,"Primarily we find that 1) under similar settings extractsummars are in general better than their abstractcounterparts thanks to strh in faithfulness and factual-consistency; 2) mtone techniques such as copy coverage and hybrtractabstractmethods do bring specific improvements but also demonstrate limitations; 3) pre-training techniques and in particular sequence-to-sequence pre-training are highly effectfor improving text summarization with BART giving the best results.
"
374,Multi-Fact Correction in AbstractText Summarization: Pre-tra neural abstractsummarization systems have dominated extractstrategies on news summarization performance at least in terms of ROUGE
375,However system-generated abstractsummaries often face the pitfall of factual inconsistency: generating incorrect facts with respect to the source text
376,To address this chall we propose Span-Fact a suof two factual correction models that leverages knowl learned from question answering models to make corrections in system-generated summaries via span selection
377,Our models employ single or multi-masking strategies to either aty or auto-regressy replace entities in order to ensure semantic consistency w.r.t
378,the source text whretaining the syntactic structure of summaries generated by abstractsummarization models
379,"Experts show that our models significantly boost the factual consistency of system-generated summaries without sacrificing summary quality in terms of both automatic metrics and human evaluation.
"
380,Neural AbstractText Summarization with Sequence-to-Sequence Models: In the past few years neural abstracttext summarization with sequence-to-sequence (seq2seq) models hav a lot of popularity
381,Many interesting techniques have been proposed to improve seq2seq models making them capable of handling different challs such as saliency fluency and human readability and generate high-quality summaries
382,Generally speaking most of these techniques differ in one of these three categories: network structure parameter inference and decoding/generation
383,There are also other concerns such as efficiency and parallelism for training a model
384,In this paper we prova comprehenslature survey on different seq2seq models for abstracttext summarization from the viewpoint of network structures training strategies and summary generation algorithms
385,Several models were first proposed for language modeling and generation tasks such as machtranslation and later applied to abstracttext summarization
386,Hence we also prova brief review of these models
387,As part of this survey we also develop an open source library namely Neural AbstractText Summar (NATS) toolkit for the abstracttext summarization
388,An extensset of experts have been conducted on the wy used CNN/Daily Mail dataset to examthe effectess of several different neural network components
389,"Finally we benchmark two models implemented in NATS on the two recently released datasets namely Newsroom and Bytecup.
"
390,Noisy Self-Knowl Distillation for Text Summarization: In this paper we apply self-knowl distillation to text summarization which we argue can alleviate problems with maximum-lihood training on single reference and noisy datasets
391,Instead of relying on one-hot annotation labels our student summarization model is tra with guidance from a teacher which generates smoothed labels to help regulartraining
392,Furthermore to better model uncertainty during training we introduce multiple nosignals for both teacher and student models
393,"We demonstrate expertally on three benchmarks that our framework boosts the performance of both pretra and non-pretra summars achieving state-of-the-art results.
"
394,SEAL: Segment-wExtractAbstractLong-form Text Summarization: Most prior work in the sequence-to-sequence paradigm focused on datasets with input sequence lhs in the hundreds of tokens due to the computational constraints of common RNN and Transformer archtures
395,In this paper we study long-form abstracttext summarization a sequence-to-sequence setting with input sequence lhs up to 100000 tokens and output sequence lhs up to 768 tokens
396,We propose SEAL a Transformer-based model featuring a new encoder-decoder attention that dynamically extracts/selects input snippets to sparsely attend to for each output segment
397,Using only the original documents and summaries we derproxy labels that provweak supervision for extractlayers simultaneously with regular supervision from abstractsummaries
398,The SEAL model achieves state-of-the-art results on existing long-form summarization tasks and outperforms strong baselmodels on a new dataset/task we introduce Search2Wiki with much longer input text
399,"Since content selection plicit in the SEAL model a desirable seffect is that the selection can be inspected for enhanced interpretability.
"
400,Automatic Text Summarization of COVID-19 Medical Research Articles using BERT and GPT-2: With the COVID-19 pandemic there is a growing urgency for medical community to keep up with the accelerating growth in the new coronavirus-related lature
401,As a result the COVID-19 Open Research Dataset Chall has released a corpus of scholarly articles and is calling for machlearning approaches to help bridging thp between the researchers and the rapidly growing publications
402,Here we take advantage of the recent advances in pre-tra NLP models BERT and OpenAI GPT-2 to solve this chall by performing text summarization on this dataset
403,We evaluate the results using ROUGE scores and visual inspection
404,Our model prov abstractand comprehensinformation based on keywords extracted from the original articles
405,"Our work can help the the medical community by providing succinct summaries of articles for which the abstract are not already available.
"
406,Discourse-Aware Neural ExtractText Summarization: Recently BERT has been adopted for document encoding in state-of-the-art text summarization models
407,However sentence-based extractmodels often result in redundant or uninformatphrases in the extracted summaries
408,Also long-range dependencies throughout a document are not well captured by BERT which is pre-tra on sentence pairs instead of documents
409,To address these issues we present a discourse-aware neural summarization model - DiscoBert
410,DiscoBert extracts sub-sentential discourse units (instead of sentences) as candidates for extractselection on a f granularity
411,To capture the long-range dependencies among discourse units structural discoursaphs are constructed based on RST trees and coreference mentions encoded with Graph Convolutional Networks
412,"Experts show that the proposed model outperforms state-of-the-art methods by a significant margin on popular summarization benchmarks compared to other BERT-base models.
"
413,ExtractSummarization as Text Matching: This paper creates a paradigm shift with regard to the way we build neural extractsummarization systems
414,Instead of following the commonly used framework of extracting sentences individually and modeling the relationship between sentences we formulate the extractsummarization task as a semantic text matching problem in which a source document and candidate summaries will be (extracted from the original text) matched in a semantic space
415,Notably this paradigm shift to semantic matching framework is well-grounded in our comprehensanalysis of the inherent gap between sentence-level and summary-level extractors based on the property of the dataset
416,Bes even instantiating the framework with a simple form of a matching model we have dr the state-of-the-art extractresult on CNN/DailyMail to a new level (44.41 in ROUGE-1)
417,Experts on the other fdatasets also show the effectess of the matching framework
418,We believe the power of this matching-based summarization framework has not been fully explo
419,"To encourage more instantiations in the future we have released our codes processed dataset as well as generated summaries in https://github.com/maszhongming/MatchSum.
"
420,Salience Estimation with Multi-Attention Learning for AbstractText Summarization: Attention mechanism plays a dominant role in the sequencneration models and has been used to improve the performance of machtranslation and abstracttext summarization
421,Different from neural machtranslation in the task of text summarization salience estimation for words phrases or sentences is a critical component since the output summary is a distillation of the input text
422,Although the typical attention mechanism can conduct text fragment selection from the input text conditioned on the decoder states there is still a gap to conduct dt and effectsalience detection
423,To bring back dt salience estimation for summarization with neural networks we propose a Multi-Attention Learning framework which contains two new attention learning components for salience estimation: superv attention learning and unsuperv attention learning
424,We regard the attention wts as the salience information which means that the semantic units with large attention value will be more important
425,The context information obta based on the estimated salience is incorporated with the typical attention mechanism in the decoder to conduct summary generation
426,"Extensexperts on some benchmark datasets in different languages demonstrate the effectess of the proposed framework for the task of abstractsummarization.
"
427,Amharic AbstractText Summarization: Text Summarization is the task of condensing long text into just a handful of sentences
428,Many approaches have been proposed for this task some of the very first were building statistical models (ExtractMethods) capable of selecting important words and copying them to the output however these models lacked the ability to paraphrase sentences as they simply select important words without actually understanding their contexts nor understanding their meaning here comes the use of Deep Learning based archtures (AbstractMethods) which effecty tries to understand the meaning of sentences to build meaningful summaries
429,In this work we discuss one of these new novel approaches which comb curriculum learning with Deep Learning this model is called Scheduled Sampling
430,"We apply this work to one of the most wy spoken African languages which is the Amharic Language as we try to enrich the African NLP community with top-notch Deep Learning archtures.
"
431,Clinical Text Summarization with Syntax-Based Negation and Semantic Concept Identification: In the era of clinical information explosion a good strategy for clinical text summarization is helpful to improve the clinical workflow
432,The l summarization strategy can preserve important information in the informatbut less organ ill-structured clinical narrattexts
433,Instead of using pure statistical learning approaches which are difficult to interpret and explain we util knowl of computational linguistics with human experts-curated biomedical knowl base to achieve the interpretable and meaningful clinical text summarization
434,Our research objectis to use the biomedical ontology with semantic information and take the advantage from the language hierarchical structure the constituency tree in order to tify the correct clinical concepts and the corresponding negation information which is critical for summarizing clinical concepts from narrattext
435,"We achieved the clinically acceptable performance for both negation detection and concept tification and the clinical concepts with common negated patterns can be tified and negated by the proposed method.
"
436,Improving AbstractText Summarization with History Aggregation: Recent neural sequence to sequence models have prov feasible solutions for abstractsummarization
437,However such models are still hard to tackle long text dependency in the summarization task
438,A high-quality summarization system usually depends on strong encoder which can refimportant information from long input texts so that the decoder can generate salient summaries from the encoder's memory
439,In this paper we propose an aggregation mechanism based on the Transformer model to address the chall of long text representation
440,Our model can review history information to make encoder hold more memory capacity
441,"Empirically we apply our aggregation mechanism to the Transformer model and expert on CNN/DailyMail dataset to achieve higher quality summaries compared to several strong baselmodels on the ROUGE metrics.
"
442,Neural AbstractText Summarization and Fake News Detection: In this work we study abstracttext summarization by exploring different models such as LSTM-encoder-decoder with attention pointer-generator networks coverage mechanisms and transformers
443,Upon extensand careful hyperparameter tuning we compare the proposed archtures against each other for the abstracttext summarization task
444,Finally as an extension of our work we apply our text summarization model as a feature extractor for a fake news detection task where the news articles prior to classification will be summar and the results are compared against the classification using only the original news text
445,"keywords: LSTM encoder-deconder abstracttext summarization pointer-generator coverage mechanism transformers fake news detection
"
446,Towards automattracttext summarization of A-133 Single Audit reports with machlearning: The rapid growth of text data has motivated the development of machlearning based automatic text summarization strategies that concy capture the essential s in a larger text
447,This study a to devan extractsummarization method for A-133 Single Audits which assess if recipients of federal grants are compliant with program requents for use of federal funding
448,Currently these voluminous audits must be manually analyzed by officials for oversight risk management and prioritization purposes
449,Automated summarization has the potential to streamlthese processes
450,"Analysis focused on the ""Findings"" section of ~20000 Single Audits spanning 2016-2018"
451,Following text preprocessing and GloVe embedding sentence-level k-means clustering was performed to partition sentences by topic and to establish the importance of each sentence
452,For each audit key summary sentences were extracted by proximity to cluster centroids
453,Summaries were judged by non-expert human evaluation and compared to human-generated summaries using the ROUGE metric
454,Though thal was to fully automate summarization of A-133 audits human input was requ at various stages due to large variability in audit writing style content and context
455,Examples of human inputs include the number of clusters the choto keep or discard certain clusters based on their content relevance and the definition of a top sentence
456,Overall this approach made progress towards automated extractsummaries of A-133 audits with future work to focus on full automation and improving summary consistency
457,"This work highlights the inherent difficulty and subjectnature of automated summarization in a real-world application.
"
458,Knowl-gu Unsuperv Rhetorical Parsing for Text Summarization: Automatic text summarization (ATS) has recently achieved impressperformance thanks to recent advances in deep learning and the availability of large-scale corpora
459,To make the summarization results more faithful this paper presents an unsuperv approach that comb rhetorical structure theory deep neural model and domain knowl concern for ATS
460,This archture mainly contains three components: domain knowl base construction based on representation learning attentional encoder-decoder model for rhetorical parsing and subroutbased model for text summarization
461,Domain knowl can be effecty used for unsuperv rhetorical parsing thus rhetorical structure trees for each document can be der
462,In the unsuperv rhetorical parsing module the  of translation was adopted to alleviate the problem of data scarcity
463,The subroutbased summarization model purely depends on the der rhetorical structure trees and can generate content-balanced results
464,To evaluate the summary results without golden standard we proposed an unsuperv evaluation metric whose hyper-parameters were tuned by superv learning
465,"Expertal results show that on a large-scale Che dataset our proposed approach can obtain comparable performances compared with existing methods.
"
466,SummAE: Zero-Shot AbstractText Summarization using Lh-Agnostic Auto-Encoders: We propose an end-to-end neural model for zero-shot abstracttext summarization of paragraphs and introduce a benchmark task ROCSumm based on ROCStories a subset for which we collected human summaries
467,In this task fsentence stories (paragraphs) are summar with one sentence using human summaries only for evaluation
468,We show results for extractand human basel to demonstrate a large abstractivp in performance
469,Our model SummAE consists of a denoising auto-encoder that embeds sentences and paragraphs in a common space from which either can be decoded
470,Summaries for paragraphs arnerated by decoding a sentence from the paragraph representations
471,We find that traditional sequence-to-sequence auto-encoders fail to producod summaries and descrhow specific archtural cho and pre-training techniques can significantly improve performance outperforming extractbasel
472,"The data training evaluation code and best model wts are open-sourced.
"
473,Efficiency Metrics for Data-Dr Models: A Text Summarization Case Study: Using data-dr models for solving text summarization or similar tasks has become very common in the last years
474,Yet most of the studies report basic accuracy scores only and nothing is known about the ability of the proposed models to improve when tra on more data
475,In this paper we defand propose three data efficiency metrics: data score efficiency data tdeficiency and overall data efficiency
476,We also propose a simple scheme that uses those metrics and apply it for a more comprehensevaluation of popular methods on text summarization and titlneration tasks
477,For the latter task we process and release a huge collection of 35 million abstract-title pairs from scientific articles
478,"Our results reveal that among the tested models the Transformer is the most efficient on both tasks.
"
479,Text Summarization with Pretra Encoders: Bidtional Encoder Representations from Transformers (BERT) represents the latest incarnation of pretra language models which have recently advanced a wrange of natural language processing tasks
480,In this paper we showcase how BERT can be usefully applied in text summarization and propose a general framework for both extractand abstractmodels
481,We introduce a novel document-level encoder based on BERT which is able to express the semantics of a document and obtain representations for its sentences
482,Our extractmodel is built on top of thcoder by stacking several inter-sentence Transformer layers
483,For abstractsummarization we propose a new ftuning schedule which adopts different optims for the encoder and the decoder as a means of alleviating the mismatch between the two (the former is pretra whthe latter is not)
484,We also demonstrate that a two-staged ftuning approach can further boost the quality of thnerated summaries
485,Experts on three datasets show that our model achieves state-of-the-art results across the board in both extractand abstractsettings
486,"Our code is available at https://github.com/nlpyang/PreSumm
"
487,Attributed Rhetorical Structure Grammar for Domain Text Summarization: This paper presents a new approach of automatic text summarization which comb domain oriented text analysis (DoTA) and rhetorical structure theory (RST) in a grammar form: the attributed rhetorical structurammar (ARSG) where the non-terminal symbols are domain keywords called domain relations whthe rhetorical relations serve as attributes
488,We developed machlearning algorithms for learning such a grammar from a corpus of sample domain texts as well as parsing algorithms for the learned grammar together with adjustable text summarization algorithms for generating domain specific summaries
489,Our practical experts have shown that with support of domain knowl the drawback of missing very large training data set can be effecty compensated
490,We have also shown that the knowl based approach may be made more powerful by introducing grammar parsing and RST as inference ne
491,For checking the feasibility of model transfer we introduced a technique for mapping a grammar from one domain to others with acceptable cost
492,"We have also made a comprehenscomparison of our approach with some others.
"
493,Exploring Domain Shift in ExtractText Summarization: Although domain shift has been well explored in many NLP applications it still has rece little attention in the domain of extracttext summarization
494,As a result the model is under-utilizing the nature of the training data due to ignoring the difference in the distribution of training sets and shows poor generalization on the unseen domain
495,With the above limitation in mind in this paper we first extend the conventional definition of the domain from categories into data sources for the text summarization task
496,Then we re-purpose a multi-domain summarization dataset and verify how thp between different domains influences the performance of neural summarization models
497,Furthermore we investigate four learning strategies and examtheir abilities to deal with the domain shift problem
498,Expertal results on three different settings show their different characteristics in our new testbed
499,"Our source code including \textit{BERT-based} \textit{meta-learning} methods for multi-domain summarization learning and the re-purposed dataset \textsc{Multi-SUM} will be available on our project: \url{http://pfliu.com/TransferSum/}.
"
500,Automatic Text Summarization of Legal Cases: A Hybrid Approach: Manual Summarization of large bodies of text involves a lot of human effort and tespecially in the legal domain
501,Lawyers spend a lot of tpreparing legal briefs of their clients' case f
502,Automatic Text summarization is a constantly evolving field of Natural Language Processing(NLP) which is a subdisciplof the Artificial Intellce Field
503,In this paper a hybrid method for automatic text summarization of legal cases using k-means clustering technique and tf-idf(term frequency-inverse document frequency) word vector is proposed
504,The summary generated by the proposed method is compared using ROGUE evaluation parameters with the case summary as prepared by the lawyer for appeal in court
505,"Further suggestions for improving the proposed method are also presented.
"
506,Neural Text Summarization: A Critical Evaluation: Text summarization aims at compressing long documents into a shorter form that conveys the most important parts of the original document
507,Despincreased interest in the community and notable research effort progress on benchmark datasets has stagnated
508,"We critically evaluate key ingredients of the current research setup: datasets evaluation metrics and models and highlight three primary shortcomings: 1) automatically collected datasets leave the task underconstra and may contain nodetrtal to training and evaluation 2) current evaluation protocol is weakly correlated with human judgment and does not account for important characteristics such as factual correctness 3) models overfit to layout biases of current datasets and offer lim dsity in their outputs.
"
509,MedMNIST Classification Decathlon: A Lightwt AutoML Benchmark for Medical Image Analysis: We present MedMNIST a collection of 10 pre-processed medical open datasets
510,MedMNIST is standard to perform classification tasks on lightwt 28x28 images which requ no background knowl
